"","EXER_AMT","AGE_TYPE","RENT_HR","RENT_TYPE","park","holiday","RENT_SPOT","GENDER_CD","USE_CNT","CARBON_AMT","MOVE_TIME"
"70",24.84,"2","2","1","1","0","1","0","1",0.3,70
"71",58.34,"1","4","1","1","1","1","1","1",0.62,21
"72",263.84,"4","4","1","1","1","2","0","1",2.38,63
"73",26.84,"3","5","1","1","1","2","1","1",0.2,4
"74",490.66,"2","5","1","1","1","1","0","0",4.82,74
"75",41.25,"3","3","1","0","0","1","0","1",0.5,13
"76",10.5,"4","5","1","0","0","3","1","1",0.09,3
"77",75.53,"2","5","0","1","0","1","0","1",0.87,28
"78",30.74,"3","2","1","0","0","2","0","1",0.3,14
"79",124.49,"2","6","1","1","1","1","1","1",1.04,25
"80",40.15,"2","4","1","1","0","2","0","1",0.36,10
"81",53.12,"5","1","1","0","0","3","1","1",0.39,8
"82",139.18,"5","4","0","1","1","2","0","0",1.54,86
"83",93.04,"3","3","1","1","1","1","1","1",0.83,26
"84",35.82,"4","2","1","1","1","2","0","1",0.47,108
"85",344.07,"4","4","1","0","0","3","1","1",2.52,64
"86",279.31,"3","4","0","1","1","3","1","1",2.34,79
"87",19.14,"1","3","1","0","1","3","0","1",0.19,7
"88",33.15,"3","5","1","1","1","2","0","1",0.34,16
"89",55.28,"1","1","1","0","0","3","0","0",0.7,26
"90",105.09,"4","5","1","1","1","2","1","1",0.99,48
"91",38.36,"2","4","0","0","1","3","1","1",0.4,21
"92",94.87,"5","4","1","0","1","3","1","0",0.82,53
"93",126.08,"4","3","0","1","1","2","1","0",1.07,65
"94",66.47,"2","4","0","1","1","3","1","1",0.6,27
"95",102.96,"2","6","0","1","1","2","0","1",1.16,47
"96",125.35,"2","4","0","1","1","2","1","1",1.13,69
"97",30.16,"4","2","1","0","0","2","0","1",0.32,38
"98",117.91,"2","5","1","0","1","3","1","1",0.92,40
"99",297.95,"5","3","1","0","0","3","1","1",2.42,59
"100",409.52,"4","3","1","1","1","2","1","1",2.82,59
"101",271.06,"3","4","1","0","1","2","0","1",2.44,177
"102",48.82,"2","3","1","0","0","3","0","1",0.57,20
"103",8.44,"2","4","1","1","1","1","0","1",0.08,4
"104",202.44,"5","6","0","1","1","2","0","1",1.77,79
"105",118.92,"2","2","0","0","1","2","1","1",1,27
"106",82.23,"3","6","1","1","1","1","0","1",0.74,22
"107",30.89,"5","3","1","1","0","2","1","1",0.24,7
"108",29.9,"4","2","1","1","0","2","1","1",0.24,28
"109",30.41,"3","4","1","0","0","3","1","1",0.22,8
"110",54.05,"3","6","0","1","0","1","0","1",0.49,19
"111",190.4,"4","2","1","1","0","2","1","1",1.39,87
"112",60.24,"5","4","1","0","0","1","1","1",0.5,9
"113",85.32,"4","2","1","0","1","3","1","1",0.77,64
"114",32,"4","2","1","0","0","2","1","1",0.23,11
"115",89.77,"4","3","1","0","0","3","0","1",0.81,21
"116",30.95,"5","5","1","0","0","3","1","1",0.26,5
"117",97.96,"2","3","1","1","0","2","1","1",1.01,59
"118",32.78,"5","3","0","1","0","2","1","1",0.3,7
"119",143.03,"3","5","1","1","0","2","1","1",1.16,76
"120",53.19,"4","1","1","0","0","3","1","1",0.42,20
"121",100.84,"5","2","1","0","0","3","1","0",0.79,66
"122",20.69,"3","2","1","0","1","3","0","1",0.22,6
"123",21.81,"2","5","0","1","0","2","1","1",0.2,9
"124",34.25,"2","3","1","0","1","1","0","1",0.43,12
"125",200.83,"2","3","0","1","1","2","0","1",2.56,75
"126",27.07,"3","5","1","0","1","1","1","1",0.23,9
"127",172.13,"2","4","0","0","1","2","0","0",1.83,43
"128",344.04,"4","1","1","1","0","1","1","1",2.52,38
"129",31.49,"2","4","1","0","1","1","1","1",0.26,10
"130",242.03,"5","4","0","0","0","3","1","1",1.77,58
"131",332.28,"3","5","0","1","1","3","0","0",3.96,106
"132",33.98,"2","2","1","0","1","3","1","1",0.31,7
"133",20.08,"3","5","1","0","0","3","0","1",0.21,6
"134",93.63,"2","4","1","0","0","3","1","0",0.7,40
"135",23.17,"2","3","0","0","1","1","0","1",0.21,16
"136",112.29,"5","2","1","1","0","1","0","1",1.24,42
"137",72.42,"5","6","1","0","1","3","0","1",0.88,43
"138",63.84,"4","3","0","1","1","2","0","1",0.58,121
"139",163.04,"5","5","1","0","0","1","1","1",1.31,33
"140",225.05,"2","2","1","1","0","1","1","0",1.93,45
"141",0,"2","4","1","0","0","3","1","1",0,1
"142",25.9,"5","6","1","1","0","2","1","1",0.25,8
"143",100.43,"2","5","1","0","0","1","0","1",1.2,29
"144",96.23,"3","5","1","0","0","1","1","1",0.75,17
"145",72.35,"4","3","1","1","1","1","0","1",0.67,57
"146",309.88,"2","5","1","1","0","1","0","1",2.79,64
"147",243.35,"2","2","0","1","0","2","0","1",2.64,50
"148",29.7,"2","1","1","0","0","3","1","1",0.23,4
"149",86.53,"2","6","0","0","1","3","1","1",0.53,15
"150",123.81,"3","3","0","1","1","1","0","1",1.12,116
"151",24.89,"2","5","1","0","0","1","1","1",0.24,6
"152",27.69,"5","3","1","0","0","3","1","1",0.21,7
"153",683.69,"3","4","0","0","1","1","0","0",6.81,225
"154",2.87,"3","6","0","1","0","2","1","1",0.03,77
"155",23.17,"2","4","0","0","0","3","0","1",0.26,9
"156",104.24,"3","5","1","0","0","3","0","1",0.94,33
"157",21.59,"3","3","0","0","0","3","1","1",0.17,5
"158",27.32,"4","1","1","1","0","2","1","1",0.23,8
"159",21.11,"5","3","1","1","0","2","0","1",0.19,7
"160",116.42,"4","3","1","0","0","1","1","1",1.08,23
"161",105.02,"2","5","1","1","1","2","0","1",1.18,33
"162",29.28,"4","6","1","0","1","2","0","1",0.26,16
"163",113.94,"3","5","0","1","0","1","1","1",0.97,38
"164",612.99,"3","4","1","1","0","1","0","0",5.83,131
"165",18.61,"2","5","1","0","0","3","0","1",0.22,8
"166",43.29,"4","2","1","1","0","2","1","1",0.32,15
"167",211.07,"2","6","0","1","1","1","1","0",1.9,130
"168",561.65,"3","6","1","1","0","2","1","0",4.6,143
"169",12.1,"3","2","1","0","1","3","1","1",0.11,2
"170",24.71,"5","4","0","1","1","1","1","1",0.18,31
"171",87.1,"3","5","1","1","1","2","1","1",0.79,19
"172",395.37,"4","4","0","1","1","1","0","1",3.56,113
"173",34.61,"4","1","1","0","0","3","1","0",0.29,8
"174",630.84,"4","3","0","1","1","1","1","0",5.33,179
"175",61.97,"3","5","1","1","1","2","0","1",0.76,25
"176",752.5,"1","6","0","1","0","2","1","0",6.27,209
"177",126.38,"4","3","1","1","0","2","1","1",0.99,25
"178",535.53,"2","4","1","0","1","3","1","1",3.69,91
"179",67.89,"2","5","1","1","0","1","0","1",0.88,30
"180",236.07,"3","2","1","0","0","3","1","1",1.84,35
"181",112.78,"4","1","1","0","0","3","1","0",0.87,27
"182",258.92,"2","5","0","1","1","2","0","1",2.66,82
"183",0,"2","6","1","1","1","1","0","1",0,25
"184",35.41,"5","5","1","1","1","2","0","1",0.32,27
"185",173.21,"2","3","1","1","0","3","1","1",1.45,89
"186",71.56,"3","6","1","1","1","2","0","1",0.64,19
"187",17.68,"4","4","1","0","1","3","1","1",0.11,2
"188",23.36,"1","5","1","0","0","3","1","1",0.23,10
"189",63.07,"3","1","1","0","0","3","1","1",0.41,13
"190",71.36,"2","6","0","1","1","1","1","1",0.61,18
"191",37.07,"4","5","1","0","0","2","0","1",0.33,12
"192",180.73,"3","6","1","0","0","3","0","1",2.3,46
"193",85.48,"5","5","1","1","0","2","1","1",0.81,20
"194",38.78,"2","2","1","0","0","2","0","0",0.39,16
"195",72.77,"4","4","1","1","0","1","1","1",0.66,18
"196",16.63,"2","2","1","1","0","2","0","1",0.16,4
"197",17.19,"4","2","1","0","0","1","1","1",0.14,3
"198",27.56,"4","5","1","0","1","3","1","1",0.19,41
"199",153.15,"4","4","1","0","1","3","1","1",1.38,59
"200",59.75,"3","3","1","0","0","2","1","1",0.38,12
"201",18.44,"4","4","1","0","0","3","1","1",0.13,9
"202",42.07,"3","3","1","0","0","3","1","1",0.3,9
"203",45.18,"3","5","1","0","0","3","0","1",0.38,34
"204",0,"3","6","1","1","0","2","1","1",0,10
"205",46.51,"3","6","0","1","1","2","0","1",0.61,15
"206",409.86,"4","3","1","1","0","1","1","1",2.67,127
"207",112.91,"2","4","0","1","1","2","0","1",1.22,33
"208",56.11,"2","4","0","1","1","1","1","1",0.44,17
"209",107,"4","6","1","1","0","2","1","1",0.84,115
"210",119.46,"2","3","1","0","1","3","0","0",1.22,39
"211",475.45,"2","4","0","0","1","1","1","1",4.29,89
"212",6.95,"5","5","1","0","1","3","1","1",0.06,1
"213",15.7,"2","1","0","0","1","3","0","1",0.14,4
"214",107.76,"3","4","1","0","0","3","1","0",0.81,18
"215",63.44,"2","5","1","1","0","2","1","1",0.57,8
"216",180.95,"2","3","0","0","0","3","0","1",1.63,54
"217",507.08,"3","5","1","0","0","2","1","0",4.25,94
"218",130.04,"2","4","1","0","0","2","1","1",1.17,51
"219",79.55,"2","5","0","0","1","3","1","1",0.61,17
"220",38.97,"4","6","1","0","0","2","1","1",0.35,10
"221",10.69,"3","2","1","0","0","1","1","1",0.08,2
"222",143.27,"5","5","1","1","0","2","1","1",1.4,33
"223",153.38,"2","3","1","0","1","3","1","0",1.27,59
"224",167.65,"3","4","1","0","0","1","0","0",1.79,71
"225",31.39,"2","3","0","1","1","1","1","1",0.25,11
"226",203.86,"4","4","0","1","0","1","1","1",1.33,22
"227",40.93,"3","1","1","0","0","2","1","1",0.37,10
"228",52.39,"4","5","1","1","0","2","1","1",0.44,12
"229",77.22,"5","4","1","1","1","1","0","1",0.87,59
"230",32.5,"2","2","1","1","1","2","0","1",0.29,10
"231",16.73,"3","4","1","1","0","2","0","1",0.2,6
"232",138.17,"3","6","1","1","1","1","1","1",1.05,26
"233",276.71,"4","4","1","1","0","1","0","1",2.49,57
"234",40.67,"4","1","1","1","0","3","1","0",0.32,9
"235",46.37,"4","3","1","0","0","3","0","1",0.42,76
"236",32.69,"3","1","1","0","0","1","1","1",0.29,7
"237",90.34,"4","1","1","0","0","3","1","0",0.74,45
"238",178.68,"5","2","1","0","0","2","1","1",1.74,58
"239",47.4,"3","6","1","1","0","2","1","1",0.31,9
"240",174.52,"4","4","1","0","0","3","0","1",1.57,43
"241",330.4,"5","4","1","1","0","1","1","0",2.8,50
"242",187.19,"4","5","1","1","0","2","0","1",1.69,39
"243",27.91,"2","3","1","1","0","2","0","1",0.27,9
"244",16.48,"3","3","1","1","0","3","1","1",0.13,4
"245",10.78,"5","3","1","0","1","3","0","1",0.11,3
"246",195.67,"4","5","1","1","0","2","0","1",2.01,47
"247",16.52,"4","2","1","0","1","2","1","1",0.14,5
"248",99.68,"4","4","1","1","1","2","1","1",0.78,27
"249",434.75,"3","2","1","0","1","2","0","0",3.92,180
"250",40.15,"3","2","1","1","0","2","1","1",0.36,12
"251",149.94,"2","3","1","0","0","1","0","1",1.63,34
"252",37.64,"5","2","1","0","1","3","1","1",0.31,13
"253",27.58,"5","5","1","0","1","3","1","1",0.22,6
"254",92.52,"3","6","1","1","1","2","1","1",0.6,12
"255",188.42,"4","4","0","1","1","2","0","0",1.7,35
"256",22.03,"1","2","0","1","1","2","1","1",0.18,5
"257",19.25,"3","3","1","0","0","2","0","1",0.17,5
"258",44.75,"1","3","1","0","1","3","0","0",0.45,14
"259",508.41,"2","3","0","0","1","1","0","0",4.73,174
"260",60.56,"4","4","0","0","1","2","0","1",0.55,89
"261",26.83,"5","4","1","1","1","2","0","1",0.28,29
"262",32.75,"2","5","1","0","0","2","1","1",0.3,9
"263",81.96,"4","1","1","1","0","2","1","0",0.61,13
"264",104.05,"2","3","0","0","1","3","0","1",1.05,51
"265",153.8,"2","6","1","0","1","3","1","1",1.22,27
"266",33.04,"3","2","1","0","0","3","1","0",0.26,17
"267",27.75,"2","6","1","0","1","2","1","1",0.27,5
"268",200.25,"4","5","1","1","0","1","1","0",1.52,44
"269",28.48,"5","3","1","1","1","2","0","1",0.29,10
"270",21.95,"2","1","1","0","0","3","0","1",0.17,7
"271",25.98,"3","1","1","0","0","1","0","1",0.28,8
"272",8.27,"3","2","0","1","1","1","0","1",0.08,9
"273",107.21,"2","5","0","1","0","1","0","0",1.14,79
"274",51.35,"3","1","1","1","0","2","1","0",0.38,12
"275",10.68,"1","1","1","0","1","3","1","1",0.13,12
"276",14.26,"5","4","1","0","1","3","0","1",0.14,4
"277",65.11,"4","3","1","1","1","3","1","1",0.63,113
"278",13.5,"3","4","1","1","1","1","0","1",0.16,7
"279",32.13,"1","4","1","0","1","1","1","1",0.29,9
"280",223.23,"2","5","1","0","0","3","1","0",1.7,60
"281",55.6,"3","4","1","0","0","2","1","1",0.5,9
"282",1.07,"2","5","1","1","0","2","0","1",0.01,3
"283",3.65,"5","6","1","1","0","2","1","1",0.03,1
"284",18.22,"3","3","0","1","1","1","1","1",0.16,5
"285",197.23,"4","5","1","1","0","2","1","1",1.48,37
"286",29.9,"2","1","1","0","1","2","1","1",0.22,6
"287",100.49,"3","3","1","0","0","3","1","1",0.91,30
"288",32.04,"3","5","0","0","0","3","1","1",0.28,6
"289",20.69,"2","6","1","0","1","3","0","1",0.22,6
"290",319.42,"3","5","1","1","0","2","1","0",2.36,64
"291",275.47,"5","5","0","1","0","2","1","1",2.37,57
"292",263.9,"4","5","1","0","1","2","1","1",2.38,43
"293",83.35,"3","3","0","1","1","2","0","0",0.66,64
"294",177.86,"2","1","1","1","0","2","1","1",1.6,46
"295",21.45,"2","1","1","0","0","2","0","1",0.19,5
"296",9.5,"2","5","1","0","1","3","1","1",0.07,1
"297",43.5,"4","3","1","1","1","2","1","1",0.39,53
"298",152.72,"4","5","0","1","1","3","1","1",1.49,40
"299",60.79,"2","5","1","0","1","2","0","1",0.7,22
"300",500.9,"4","4","0","1","1","1","1","1",4.51,122
"301",347.29,"4","4","1","1","0","1","1","0",2.55,86
"302",28.83,"3","4","0","1","1","2","1","1",0.21,8
"303",23.15,"3","3","0","0","1","1","0","1",0.23,15
"304",33.87,"2","5","1","1","1","2","0","0",0.29,54
"305",95.41,"2","5","1","0","0","3","1","0",0.79,25
"306",23.16,"2","2","0","0","0","3","1","1",0.2,7
"307",492.17,"5","4","1","1","1","1","1","1",4.3,101
"308",143.37,"4","3","0","1","1","1","1","1",1.29,150
"309",98.01,"4","3","1","0","1","3","0","1",1.15,38
"310",126.57,"2","3","1","0","0","3","1","1",0.81,61
"311",699.32,"2","3","1","1","0","1","1","0",6.03,92
"312",119.98,"5","3","1","0","0","2","1","1",1.02,47
"313",108.7,"4","5","1","1","0","1","1","0",0.76,21
"314",99.9,"3","6","1","1","0","2","0","1",0.66,15
"315",117.89,"3","6","0","0","0","3","0","1",1.06,28
"316",241.15,"4","4","0","1","1","1","1","0",2.25,174
"317",43.95,"4","1","1","0","1","3","1","1",0.4,6
"318",41.06,"2","6","0","1","1","2","0","1",0.45,14
"319",350.04,"4","5","1","1","1","2","0","1",3.06,46
"320",70.72,"4","2","1","0","0","1","1","0",0.61,36
"321",214.42,"4","4","1","0","0","1","0","1",2.17,78
"322",84.27,"5","1","1","1","0","1","1","1",0.71,27
"323",152.45,"3","4","1","0","1","3","0","1",1.59,78
"324",55.24,"5","6","1","0","0","3","1","1",0.43,13
"325",16.37,"5","3","1","0","0","3","1","1",0.15,4
"326",44.97,"2","3","0","1","1","1","1","1",0.33,52
"327",135.39,"4","3","0","1","1","2","1","1",1.22,52
"328",442.2,"2","5","1","0","1","3","1","0",3.65,60
"329",78.32,"2","6","0","1","0","2","0","1",0.81,23
"330",343.58,"2","6","0","1","0","2","0","0",3.46,144
"331",14.93,"3","2","1","0","0","3","1","1",0.13,3
"332",168.48,"3","5","1","1","0","2","0","1",1.79,59
"333",57.53,"5","4","1","0","0","1","1","1",0.52,17
"334",194.71,"4","3","0","1","1","1","0","0",2.04,104
"335",44.76,"4","1","1","0","0","3","1","1",0.36,11
"336",457.94,"2","6","0","1","0","2","0","0",4.57,114
"337",20.75,"5","4","0","1","0","1","0","1",0.2,12
"338",85.71,"2","3","1","0","1","3","1","0",0.78,28
"339",168.37,"3","2","1","0","0","3","1","0",1.17,35
"340",446.58,"2","5","1","1","0","1","0","0",4.03,67
"341",26.2,"3","6","1","1","1","2","0","1",0.31,10
"342",23.46,"3","5","1","0","1","3","0","1",0.21,10
"343",65.7,"2","4","1","1","0","1","1","1",0.55,15
"344",54.74,"2","5","1","1","0","1","1","0",0.42,21
"345",66.15,"3","6","1","1","0","2","1","1",0.6,34
"346",19.96,"3","1","1","0","0","2","1","1",0.15,3
"347",96.19,"3","1","1","1","0","2","1","0",0.71,16
"348",403.92,"3","3","1","0","1","3","1","1",2.37,32
"349",90.88,"5","2","1","1","0","1","0","1",0.71,96
"350",31.58,"3","1","1","0","1","3","0","1",0.28,15
"351",233.78,"4","5","0","1","1","1","0","0",2.11,131
"352",138.74,"3","3","0","1","1","2","1","1",1.25,65
"353",95.65,"3","2","1","0","0","3","1","1",0.68,40
"354",9.82,"2","5","1","1","0","2","1","1",0.09,4
"355",88.7,"3","6","1","0","0","2","1","1",0.69,18
"356",70.88,"4","2","0","0","1","3","0","1",0.83,29
"357",283.47,"4","1","1","0","0","3","1","0",2.23,51
"358",144.79,"5","3","1","0","0","3","1","0",1.06,44
"359",14.95,"2","4","1","1","1","2","0","1",0.17,8
"360",66.65,"5","3","1","1","0","2","1","1",0.46,49
"361",101.84,"4","1","1","0","0","3","0","1",1.01,27
"362",71.13,"5","4","0","1","1","2","1","1",0.53,19
"363",2.2,"5","1","1","0","0","2","1","1",0.02,7
"364",376.41,"2","6","1","1","0","3","1","0",3.26,85
"365",36.24,"3","5","1","1","1","2","0","1",0.24,8
"366",31.34,"3","1","1","1","0","2","1","0",0.27,7
"367",25.4,"5","6","1","1","1","2","0","1",0.18,78
"368",39.05,"5","5","1","1","1","2","1","1",0.27,15
"369",14.12,"3","2","1","0","0","3","1","1",0.13,5
"370",20.39,"2","5","1","1","1","2","0","1",0.27,8
"371",17.33,"3","1","1","0","0","3","0","1",0.2,6
"372",117.5,"5","6","1","1","1","2","0","1",1.06,63
"373",45.56,"4","2","1","0","1","3","1","1",0.41,10
"374",115.27,"4","2","1","1","0","2","0","1",0.79,40
"375",33.2,"4","2","1","0","1","3","1","1",0.3,10
"376",84.94,"4","2","1","1","0","3","1","1",0.77,20
"377",399.07,"2","3","1","1","1","2","1","1",3.77,120
"378",11.04,"4","1","1","1","0","2","0","1",0.13,8
"379",204.57,"5","5","1","1","1","1","1","1",1.71,61
"380",27.5,"2","3","1","1","0","1","0","1",0.29,6
"381",11.72,"4","5","1","0","0","3","0","1",0.12,5
"382",23.08,"2","3","1","1","0","1","0","1",0.24,9
"383",100.38,"3","3","1","1","0","2","1","0",0.91,28
"384",153.49,"4","2","1","1","1","1","1","1",1.06,115
"385",45.22,"4","4","1","1","0","3","0","1",0.46,14
"386",44.33,"4","3","1","0","1","2","1","1",0.31,13
"387",283.3,"4","6","0","1","0","3","1","1",2.37,83
"388",75.55,"4","6","0","0","1","3","1","1",0.74,24
"389",9.19,"5","3","1","1","0","2","1","1",0.09,2
"390",212.42,"2","5","1","0","0","3","0","1",2.39,59
"391",54.05,"2","2","1","1","0","1","1","1",0.49,68
"392",28.8,"3","2","1","1","0","1","1","1",0.24,42
"393",25.3,"5","5","1","1","1","1","1","1",0.21,8
"394",96.6,"4","1","1","1","1","2","1","1",0.67,23
"395",14.41,"2","4","1","1","1","3","1","1",0.13,5
"396",0,"3","5","1","0","0","3","0","1",0,2
"397",23.87,"3","4","1","1","1","1","0","1",0.28,11
"398",22.71,"2","4","0","0","0","3","0","1",0.28,8
"399",93.54,"4","2","1","1","1","2","1","1",0.69,20
"400",12.35,"2","4","1","0","1","3","0","1",0.14,8
"401",266.82,"5","6","1","1","0","2","0","1",2.61,78
"402",46.33,"2","1","1","0","0","2","1","1",0.3,7
"403",66.86,"2","5","1","1","0","1","0","1",0.6,24
"404",120.45,"3","5","1","0","0","2","1","0",1.09,20
"405",206.73,"4","3","1","0","1","3","1","1",1.73,64
"406",48.51,"2","4","1","0","0","1","1","1",0.39,15
"407",17.34,"5","6","1","0","1","3","0","1",0.17,6
"408",168.72,"1","5","0","1","1","2","1","0",1.72,37
"409",19.34,"3","4","0","1","0","2","1","1",0.15,3
"410",21.69,"2","5","1","1","1","2","0","0",0.24,7
"411",166.77,"3","4","1","1","1","1","0","1",1.74,89
"412",29.65,"5","5","1","1","1","1","1","0",0.22,140
"413",205.15,"4","3","0","1","1","1","0","1",1.85,118
"414",37.92,"3","2","1","0","1","3","0","1",0.4,11
"415",151.58,"3","4","1","1","0","2","1","0",1.2,35
"416",115.84,"2","6","0","1","1","3","0","1",1.39,57
"417",117.98,"4","3","1","1","0","2","1","1",0.93,32
"418",38.88,"2","6","1","0","0","3","1","1",0.3,10
"419",29.81,"5","1","1","1","0","2","0","1",0.23,6
"420",147.49,"3","3","1","0","1","3","0","1",1.33,45
"421",225.09,"4","4","0","1","1","1","1","1",1.88,54
"422",177.52,"5","3","1","0","0","1","1","1",1.3,40
"423",83.49,"3","4","0","0","1","1","1","1",0.58,24
"424",0,"5","6","1","1","0","2","1","1",0,4
"425",442.67,"3","4","0","1","1","1","0","1",4.89,120
"426",156.12,"3","3","1","1","1","2","1","1",0.96,68
"427",126.3,"2","2","1","0","0","3","1","0",0.91,76
"428",57.48,"2","3","1","0","0","2","0","1",0.56,22
"429",110.94,"4","5","1","0","0","1","1","1",1,22
"430",130.97,"4","2","1","1","1","3","0","1",1.6,118
"431",75.15,"4","4","0","1","1","2","0","0",0.68,24
"432",50.53,"5","3","1","0","0","3","0","1",0.46,15
"433",11.17,"2","1","1","0","0","1","1","1",0.11,3
"434",18.84,"4","2","1","0","0","3","0","1",0.18,4
"435",124.74,"3","6","1","1","1","1","1","0",0.86,146
"436",143.88,"3","5","1","1","0","2","0","0",1.54,50
"437",49.68,"2","4","1","1","1","2","0","1",0.71,15
"438",73.09,"5","5","1","0","0","3","0","1",0.7,22
"439",21.38,"4","5","1","0","0","3","0","1",0.23,54
"440",2.32,"4","5","0","1","0","2","0","1",0.02,6
"441",418.47,"4","5","1","1","1","1","1","1",2.95,120
"442",20.33,"2","6","1","1","0","2","0","1",0.18,10
"443",100.9,"5","4","1","1","0","1","0","1",0.91,26
"444",54.83,"4","4","0","1","1","1","0","1",0.49,59
"445",73.36,"3","4","1","1","0","1","0","0",0.67,20
"446",22.44,"3","5","1","0","1","2","0","1",0.2,9
"447",16.85,"2","1","1","0","0","2","1","1",0.15,4
"448",7.82,"4","2","1","1","1","2","0","1",0.09,3
"449",21.19,"3","4","1","1","0","2","0","1",0.25,6
"450",138.08,"2","5","1","0","0","3","0","1",1.76,39
"451",73.82,"3","1","1","1","1","2","1","1",0.55,17
"452",497.43,"5","3","1","1","0","2","0","1",4.86,122
"453",59.2,"5","5","1","1","0","1","1","1",0.53,15
"454",12.36,"2","6","1","1","1","3","0","1",0.11,5
"455",103.99,"4","4","0","1","1","2","1","1",0.94,49
"456",132.83,"4","6","1","1","0","3","1","1",1.26,31
"457",14.79,"2","5","1","0","1","2","0","1",0.2,13
"458",537.83,"5","4","1","0","0","3","1","0",4.36,110
"459",311.22,"5","2","1","0","0","1","1","1",2.64,73
"460",19.39,"4","6","1","1","0","2","0","1",0.24,10
"461",9.47,"2","2","1","1","0","1","0","1",0.11,4
"462",38.99,"2","1","1","0","1","3","1","1",0.35,11
